cluster,37
lv,1.5
opt,Co2L0-24H-T-H-B-I-A-solar+p3-dist1
planning_horizon,2030
carrier,
gas,-inf
offwind-ac,4.667
offwind-dc,1.083
oil,-inf
onwind,3.332
residential rural solar thermal,33.702
residential urban decentral solar thermal,30.61
ror,0.045
services rural solar thermal,33.684
services urban decentral solar thermal,29.991
solar,0.493
solar rooftop,0.006
urban central solar thermal,2.089
